"","Gender","Region","N","perc"
"1","Female","Midwest",571,0.513027852650494
"2","Female","Northeast",203,0.524547803617571
"3","Female","South",770,0.51230871590153
"4","Female","West",316,0.480974124809741
"5","Male","Midwest",500,0.449236298292902
"6","Male","Northeast",166,0.428940568475452
"7","Male","South",663,0.441117764471058
"8","Male","West",290,0.441400304414003
"9",NA,"Midwest",42,0.0377358490566038
"10",NA,"Northeast",18,0.0465116279069767
"11",NA,"South",70,0.0465735196274118
"12",NA,"West",51,0.0776255707762557
