"","Race","Region","EDUC","Income"
"1","White","Midwest","Secondary","150,000 +"
"2","White","South","Masters","150,000 +"
"3","Black","West","Secondary","20,000-39,999"
"4","White","South","Secondary","60,000-74,999"
"5","White","West","Secondary","150,000 +"
"6","Black","South","Primary","1-19,999"
"7","White","West","Secondary","1-19,999"
"8","White","South","Masters",NA
"9","White","Midwest","Professional","100,000-149,999"
"10","Hispanic","South","Professional",NA
"11","White","South","Secondary","40,000-59,999"
"12","White","Midwest","Bachelors","60,000-74,999"
"13","Black","South","Secondary","20,000-39,999"
"14","White","South","Masters","40,000-59,999"
"15","Hispanic","South","Secondary","20,000-39,999"
"16","White","South","Masters","60,000-74,999"
"17","White","South","Secondary","40,000-59,999"
"18","White","Midwest","Secondary","20,000-39,999"
"19","Hispanic","West","Secondary","40,000-59,999"
"20","White","Midwest","Primary","60,000-74,999"
"21","Other","Midwest","Primary",NA
"22","Hispanic","South","Professional","20,000-39,999"
"23","White","Midwest","Secondary","20,000-39,999"
"24","White","South","Secondary","1-19,999"
"25","White","Midwest","Masters","150,000 +"
"26","Asian/Pacific Islander","West","Bachelors",NA
"27","Black","South","Secondary","40,000-59,999"
"28","White","South","Secondary","100,000-149,999"
"29","White","Midwest","Secondary","40,000-59,999"
"30","White","South","Professional","100,000-149,999"
"31","White","South","Masters","100,000-149,999"
"32","White","West","Secondary","40,000-59,999"
"33","Hispanic","South","Secondary","40,000-59,999"
"34","White","Midwest","Masters",NA
"35","White","South","Masters","75,000-99,999"
"36","Black","South","Primary","1-19,999"
"37","White","Midwest","Secondary",NA
"38","White","Midwest","Bachelors","75,000-99,999"
"39","White","West","Bachelors","100,000-149,999"
"40","White","West","Secondary","150,000 +"
"41","White","Midwest","Primary","60,000-74,999"
"42","White","Midwest","Bachelors","100,000-149,999"
"43","White","West","Professional","20,000-39,999"
"44","White","Midwest","Secondary","60,000-74,999"
"45","White","West","Professional","20,000-39,999"
"46","White","Midwest","Secondary",NA
"47","White","South","Masters","60,000-74,999"
"48","Black","Midwest","Secondary",NA
"49","White","South","Secondary","100,000-149,999"
"50","White","South","Secondary","75,000-99,999"
"51","White","South","Secondary","1-19,999"
"52","White","Midwest","Bachelors","150,000 +"
"53","Other","West","Professional","20,000-39,999"
"54","White","South","Secondary","20,000-39,999"
"55","White","West","Masters","100,000-149,999"
"56","Asian/Pacific Islander","Midwest","Masters","40,000-59,999"
"57","White","West","Secondary","1-19,999"
"58","Hispanic","South","Secondary","20,000-39,999"
"59","White","South","Professional","1-19,999"
"60","White","Midwest","Bachelors",NA
"61","White","Northeast","Primary","20,000-39,999"
"62","White","South","Secondary","20,000-39,999"
"63","White","Midwest","Primary",NA
"64","White","Midwest","Professional","20,000-39,999"
"65","White","West","Secondary","60,000-74,999"
"66","White","West","Secondary","100,000-149,999"
"67","White","Midwest","Masters","75,000-99,999"
"68","White","West","Primary","75,000-99,999"
"69","White","Midwest","Masters","100,000-149,999"
"70","White","South","Bachelors","150,000 +"
"71","White","Midwest","Primary",NA
"72","White","South","Professional",NA
"73","Other","South","Secondary","40,000-59,999"
"74","White","South","Bachelors","20,000-39,999"
"75","White","South","Bachelors","150,000 +"
"76","Other","Midwest","Masters","75,000-99,999"
"77","White","South","Primary","1-19,999"
"78","White","South","Secondary","60,000-74,999"
"79","Black","South","Secondary","40,000-59,999"
"80","White","South","Bachelors","75,000-99,999"
"81","White","West","Secondary","20,000-39,999"
"82","White","West","Secondary","1-19,999"
"83","Other","South","Professional","40,000-59,999"
"84","White","South","Masters","150,000 +"
"85","White","Northeast","Secondary","20,000-39,999"
"86","White","West","Secondary","20,000-39,999"
"87","Hispanic","West","Secondary","75,000-99,999"
"88","White","Northeast","Secondary","40,000-59,999"
"89","Hispanic","West","Professional","100,000-149,999"
"90","White","South","Secondary","40,000-59,999"
"91","Black","South","Secondary","60,000-74,999"
"92","White","Midwest","Masters","75,000-99,999"
"93","Black","South","Bachelors","60,000-74,999"
"94","White","Northeast","Secondary","20,000-39,999"
"95","Black","South","Bachelors","75,000-99,999"
"96","Other","West","Secondary","1-19,999"
"97","White","Midwest","Secondary",NA
"98","White","South","Primary","1-19,999"
"99","White","Northeast","Secondary","40,000-59,999"
"100","Other","Midwest","Secondary","100,000-149,999"
"101","White","Midwest","Secondary","150,000 +"
"102","Black","West","Professional","20,000-39,999"
"103","White","Midwest","Secondary","1-19,999"
"104","Asian/Pacific Islander","Northeast","Secondary","60,000-74,999"
"105","Black","South","Secondary",NA
"106","Black","Midwest","Bachelors","150,000 +"
"107","Hispanic","West","Bachelors","150,000 +"
"108","Hispanic","Midwest","Secondary","40,000-59,999"
"109","White","West","Primary","40,000-59,999"
"110","Hispanic","West","Secondary","60,000-74,999"
"111","Black","South","Primary",NA
"112","White","Midwest","Masters","20,000-39,999"
"113","White","Northeast","Primary","100,000-149,999"
"114","White","South","Primary","20,000-39,999"
"115","White","West","Professional",NA
"116","White","South","Primary","1-19,999"
"117","White","Northeast","Bachelors","40,000-59,999"
"118","White","Northeast","Bachelors","100,000-149,999"
"119","Asian/Pacific Islander","West","Secondary","75,000-99,999"
"120","White","Midwest","Bachelors","40,000-59,999"
"121","White","South","Secondary","1-19,999"
"122","White","Northeast","Professional","40,000-59,999"
"123","White","Midwest","Secondary","60,000-74,999"
"124","White","Midwest","Primary","40,000-59,999"
"125","White","Midwest","Secondary","60,000-74,999"
"126","White","South","Bachelors","100,000-149,999"
"127","White","Midwest","Secondary","20,000-39,999"
"128","White","West","Masters","100,000-149,999"
"129","Black","West","Secondary","1-19,999"
"130","White","South","Secondary","20,000-39,999"
"131","Hispanic","West","Secondary",NA
"132","White","South","Secondary","60,000-74,999"
"133","Black","South","Secondary",NA
"134","White","South","Secondary","40,000-59,999"
"135","White","South","Secondary","100,000-149,999"
"136","White","Midwest","Secondary","40,000-59,999"
"137","White","Northeast","Bachelors","20,000-39,999"
"138","Asian/Pacific Islander","Midwest","Secondary","60,000-74,999"
"139","Black","Midwest","Primary","1-19,999"
"140","White","South","Secondary","1-19,999"
"141","White","South","Bachelors","75,000-99,999"
"142","White","Northeast","Bachelors","100,000-149,999"
"143","White","Midwest","Secondary",NA
"144","Black","Midwest","Primary",NA
"145","White","South","Professional","1-19,999"
"146","Other","South","Primary","20,000-39,999"
"147","White","Midwest","Masters","150,000 +"
"148","Black","South","Masters","100,000-149,999"
"149","White","South","Masters","1-19,999"
"150","Hispanic","South","Secondary","20,000-39,999"
"151","White","Northeast","Secondary","75,000-99,999"
"152","Asian/Pacific Islander","West","Secondary","40,000-59,999"
"153","White","Northeast","Professional","100,000-149,999"
"154","Hispanic","West","Secondary","40,000-59,999"
"155","White","Midwest","Secondary","20,000-39,999"
"156","White","Northeast","Professional","150,000 +"
"157","Black","South","Secondary","1-19,999"
"158","Black","West","Secondary","75,000-99,999"
"159","White","South","Professional","100,000-149,999"
"160","Hispanic","West","Secondary","40,000-59,999"
"161","White","Northeast","Masters","20,000-39,999"
"162","Black","Northeast","Secondary","75,000-99,999"
"163","White","Midwest","Bachelors","75,000-99,999"
"164","White","West","Bachelors","60,000-74,999"
"165","White","South","Bachelors","60,000-74,999"
"166","White","Midwest","Secondary","1-19,999"
"167","White","Midwest","Bachelors","100,000-149,999"
"168","White","Midwest","Bachelors","20,000-39,999"
"169","Hispanic","South","Secondary","150,000 +"
"170","White","Midwest","Bachelors","75,000-99,999"
"171","White","Northeast","Secondary","1-19,999"
"172","White","Midwest","Secondary",NA
"173","Hispanic","South","Primary","40,000-59,999"
"174","White","South","Masters","100,000-149,999"
"175","White","West","Bachelors","75,000-99,999"
"176","White","Midwest","Professional","20,000-39,999"
"177","White","Midwest","Bachelors","1-19,999"
"178","Black","Midwest","Professional","40,000-59,999"
"179","White","South","Bachelors","100,000-149,999"
"180","Hispanic","West","Masters","100,000-149,999"
"181","White","Midwest","Masters","75,000-99,999"
"182","White","Midwest","Secondary","20,000-39,999"
"183","Hispanic","West","Secondary","40,000-59,999"
"184","White","West","Bachelors","150,000 +"
"185","White","South","Professional","75,000-99,999"
"186","Hispanic","Midwest","Masters","75,000-99,999"
"187","Hispanic","West","Masters","75,000-99,999"
"188","White","South","Masters","150,000 +"
"189","White","Midwest","Bachelors","60,000-74,999"
"190","Hispanic","West","Secondary","100,000-149,999"
"191","White","Northeast","Secondary","60,000-74,999"
"192","Black","Midwest","Secondary",NA
"193","White","Northeast","Bachelors","40,000-59,999"
"194","White","South","Secondary","20,000-39,999"
"195","White","West","Secondary","100,000-149,999"
"196","Hispanic","Midwest","Secondary","1-19,999"
"197","White","South","Masters","40,000-59,999"
"198","Asian/Pacific Islander","Northeast","Bachelors",NA
"199","White","South","Secondary",NA
"200","White","West","Secondary","20,000-39,999"
"201","White","West","Secondary","150,000 +"
"202","White","South","Bachelors","100,000-149,999"
"203","White","Midwest","Primary","20,000-39,999"
"204","White","West","Masters","100,000-149,999"
"205","White","South","Secondary","40,000-59,999"
"206","Hispanic","Northeast","Primary","20,000-39,999"
"207","White","Midwest","Bachelors","100,000-149,999"
"208","White","Midwest","Secondary","20,000-39,999"
"209","Black","South","Masters","40,000-59,999"
"210","Black","South","Masters","75,000-99,999"
"211","White","West","Bachelors","100,000-149,999"
"212","White","Midwest","Secondary","20,000-39,999"
"213","White","Midwest","Professional","60,000-74,999"
"214","Black","South","Professional",NA
"215","Black","South","Secondary","20,000-39,999"
"216","White","South","Bachelors",NA
"217","White","West","Bachelors","150,000 +"
"218","White","South","Primary","100,000-149,999"
"219","Black","South","Secondary","40,000-59,999"
"220","White","West","Primary","150,000 +"
"221","Black","West","Secondary","60,000-74,999"
"222","White","South","Secondary","1-19,999"
"223","White","South","Masters","150,000 +"
"224","White","South","Secondary",NA
"225","White","Northeast","Secondary","1-19,999"
"226","Black","South","Secondary",NA
"227","Black","West","Professional","40,000-59,999"
"228","White","Midwest","Secondary","20,000-39,999"
"229","White","Northeast","Bachelors","100,000-149,999"
"230","Hispanic","South","Professional","150,000 +"
"231","White","South","Bachelors",NA
"232","White","Midwest","Bachelors","40,000-59,999"
"233","Black","West","Secondary","1-19,999"
"234","White","South","Professional","100,000-149,999"
"235","White","South","Professional","40,000-59,999"
"236","White","Northeast","Bachelors","60,000-74,999"
"237","White","Midwest","Secondary","75,000-99,999"
"238","White","Midwest","Secondary","60,000-74,999"
"239","Black","South","Secondary","1-19,999"
"240","White","South","Bachelors","20,000-39,999"
"241","Black","South","Secondary","1-19,999"
"242","White","South","Secondary","40,000-59,999"
"243","White","South","Masters","150,000 +"
"244","Other","Midwest","Professional","20,000-39,999"
"245","White","West","Secondary","20,000-39,999"
"246","White","Northeast","Secondary","20,000-39,999"
"247","Black","Midwest","Secondary","20,000-39,999"
"248","Black","South","Primary","1-19,999"
"249","White","South","Bachelors","60,000-74,999"
"250","White","South","Secondary","20,000-39,999"
"251","White","West","Bachelors","1-19,999"
"252","Other","Midwest","Secondary",NA
"253","White","South","Masters","150,000 +"
"254","White","West","Bachelors","20,000-39,999"
"255","White","Northeast","Masters","150,000 +"
"256","White","South","Secondary","20,000-39,999"
"257","White","Northeast","Secondary",NA
"258","Black","Midwest","Secondary","20,000-39,999"
"259","Hispanic","South","Secondary","1-19,999"
"260","White","Midwest","Secondary","75,000-99,999"
"261","White","West","Secondary","100,000-149,999"
"262","White","Midwest","Bachelors","100,000-149,999"
"263","White","Midwest","Professional","150,000 +"
"264","Hispanic","South","Primary","1-19,999"
"265","White","Midwest","Secondary","150,000 +"
"266","White","Midwest","Secondary",NA
"267","White","South","Secondary","60,000-74,999"
"268","White","South","Secondary","40,000-59,999"
"269","White","Northeast","Bachelors","75,000-99,999"
"270","White","South","Secondary","150,000 +"
"271","White","South","Secondary","20,000-39,999"
"272","Black","Midwest","Secondary",NA
"273","White","West","Secondary","20,000-39,999"
"274","White","Midwest","Bachelors","40,000-59,999"
"275","Hispanic","South","Bachelors","20,000-39,999"
"276","White","South","Masters","75,000-99,999"
"277","White","South","Professional","75,000-99,999"
"278","White","Midwest","Primary","20,000-39,999"
"279","White","West","Bachelors","75,000-99,999"
"280","Hispanic","West","Secondary","60,000-74,999"
"281","Other","West","Secondary","20,000-39,999"
"282","White","South","Secondary","1-19,999"
"283","Other","West","Secondary","60,000-74,999"
"284","White","West","Secondary","1-19,999"
"285","White","South","Bachelors","1-19,999"
"286","White","South","Secondary","1-19,999"
"287","Black","South","Secondary","20,000-39,999"
"288","White","South","Professional","100,000-149,999"
"289","Hispanic","South","Bachelors","150,000 +"
"290","Other","Midwest","Secondary","20,000-39,999"
"291","White","Midwest","Professional","75,000-99,999"
"292","Black","South","Secondary","60,000-74,999"
"293","White","South","Bachelors","75,000-99,999"
"294","Other","South","Secondary",NA
"295","White","West","Masters","150,000 +"
"296","White","Midwest","Secondary","1-19,999"
"297","White","West","Bachelors","60,000-74,999"
"298","White","Northeast","Masters","40,000-59,999"
"299","White","West","Bachelors","100,000-149,999"
"300","Other","South","Secondary",NA
"301","White","South","Masters","60,000-74,999"
"302","Asian/Pacific Islander","South","Professional","100,000-149,999"
"303","White","West","Secondary","60,000-74,999"
"304","White","Northeast","Masters","100,000-149,999"
"305","White","South","Masters","40,000-59,999"
"306","White","Midwest","Primary","20,000-39,999"
"307","Hispanic","South","Bachelors","60,000-74,999"
"308","Hispanic","South","Bachelors","150,000 +"
"309","White","Midwest","Professional","60,000-74,999"
"310","White","South","Secondary","60,000-74,999"
"311","White","Midwest","Secondary","60,000-74,999"
"312","White","South","Secondary","20,000-39,999"
"313","White","South","Bachelors",NA
"314","White","South","Secondary","20,000-39,999"
"315","Asian/Pacific Islander","South","Masters",NA
"316","White","Northeast","Primary","150,000 +"
"317","White","South","Secondary",NA
"318","Hispanic","Midwest","Bachelors","20,000-39,999"
"319","Black","South","Primary","40,000-59,999"
"320","White","South","Secondary","75,000-99,999"
"321","Black","South","Secondary","40,000-59,999"
"322","White","South","Professional","150,000 +"
"323","White","Midwest","Primary","1-19,999"
"324","Asian/Pacific Islander","Midwest","Secondary","20,000-39,999"
"325","Asian/Pacific Islander","West","Masters","150,000 +"
