"","Race","Region","EDUC","Gender"
"1","White","Midwest","Secondary","Male"
"2","White","South","Masters","Male"
"3","Black","West","Secondary","Female"
"4","White","South","Secondary","Female"
"5","White","West","Secondary","Male"
"6","Black","South","Primary","Male"
"7","White","West","Secondary","Female"
"8","White","South","Masters","Male"
"9","White","Midwest","Professional","Male"
"10","Hispanic","South","Professional","Female"
"11","White","South","Secondary","Female"
"12","White","Midwest","Bachelors","Female"
"13","Black","South","Secondary","Female"
"14","White","South","Masters","Male"
"15","Hispanic","South","Secondary","Female"
"16","White","South","Masters","Male"
"17","White","South","Secondary","Male"
"18","White","Midwest","Secondary","Male"
"19","Hispanic","West","Secondary","Male"
"20","White","Midwest","Primary","Male"
"21","Other","Midwest","Primary","Female"
"22","Hispanic","South","Professional","Male"
"23","White","Midwest","Secondary","Male"
"24","White","South","Secondary","Female"
"25","White","Midwest","Masters","Male"
"26","Asian/Pacific Islander","West","Bachelors","Female"
"27","Black","South","Secondary","Male"
"28","White","South","Secondary","Female"
"29","White","Midwest","Secondary","Male"
"30","White","South","Professional","Male"
"31","White","South","Masters","Male"
"32","White","West","Secondary","Female"
"33","Hispanic","South","Secondary","Female"
"34","White","Midwest","Masters","Male"
"35","White","South","Masters","Female"
"36","Black","South","Primary","Female"
"37","White","Midwest","Secondary","Female"
"38","White","Midwest","Bachelors","Male"
"39","White","West","Bachelors","Female"
"40","White","West","Secondary","Female"
"41","White","Midwest","Primary","Female"
"42","White","Midwest","Bachelors","Female"
"43","White","West","Professional","Male"
"44","White","Midwest","Secondary","Female"
"45","White","West","Professional","Female"
"46","White","Midwest","Secondary","Male"
"47","White","South","Masters","Male"
"48","Black","Midwest","Secondary","Male"
"49","White","South","Secondary","Female"
"50","White","South","Secondary","Male"
"51","White","South","Secondary","Male"
"52","White","Midwest","Bachelors","Female"
"53","Other","West","Professional","Female"
"54","White","South","Secondary","Female"
"55","White","West","Masters","Female"
"56","Asian/Pacific Islander","Midwest","Masters","Female"
"57","White","West","Secondary","Female"
"58","Hispanic","South","Secondary","Female"
"59","White","South","Professional","Female"
"60","White","Midwest","Bachelors","Female"
"61","White","Northeast","Primary","Female"
"62","White","South","Secondary","Female"
"63","White","Midwest","Primary","Female"
"64","White","Midwest","Professional","Female"
"65","White","West","Secondary","Male"
"66","White","West","Secondary","Female"
"67","White","Midwest","Masters","Female"
"68","White","West","Primary","Female"
"69","White","Midwest","Masters","Female"
