"","Race","Region","EDUC","Income","Gender","Income_cont","N","perc"
"1","Asian/Pacific Islander","Midwest","Bachelors","100,000-149,999","Female",6,1,0.000898472596585804
"2","Asian/Pacific Islander","Midwest","Bachelors","150,000 +","Female",0,1,0.000898472596585804
"3","Asian/Pacific Islander","Midwest","Bachelors","40,000-59,999","Female",3,1,0.000898472596585804
"4","Asian/Pacific Islander","Midwest","Bachelors","60,000-74,999","Female",4,1,0.000898472596585804
"5","Asian/Pacific Islander","Midwest","Bachelors","60,000-74,999","Male",4,1,0.000898472596585804
"6","Asian/Pacific Islander","Midwest","Bachelors","75,000-99,999","Male",5,2,0.00179694519317161
"7","Asian/Pacific Islander","Midwest","Bachelors","Other","Male",0,1,0.000898472596585804
"8","Asian/Pacific Islander","Midwest","Bachelors",NA,"Female",NA,1,0.000898472596585804
"9","Asian/Pacific Islander","Midwest","Bachelors",NA,"Male",NA,1,0.000898472596585804
"10","Asian/Pacific Islander","Midwest","Masters","150,000 +","Male",0,1,0.000898472596585804
"11","Asian/Pacific Islander","Midwest","Masters","40,000-59,999","Female",3,1,0.000898472596585804
"12","Asian/Pacific Islander","Midwest","Primary","1-19,999","Female",1,1,0.000898472596585804
"13","Asian/Pacific Islander","Midwest","Primary","20,000-39,999","Female",2,1,0.000898472596585804
"14","Asian/Pacific Islander","Midwest","Primary","20,000-39,999","Male",2,1,0.000898472596585804
"15","Asian/Pacific Islander","Midwest","Professional","100,000-149,999","Female",6,1,0.000898472596585804
"16","Asian/Pacific Islander","Midwest","Professional","100,000-149,999","Male",6,1,0.000898472596585804
"17","Asian/Pacific Islander","Midwest","Professional","150,000 +","Male",0,1,0.000898472596585804
"18","Asian/Pacific Islander","Midwest","Professional","20,000-39,999","Female",2,1,0.000898472596585804
"19","Asian/Pacific Islander","Midwest","Professional","40,000-59,999","Female",3,1,0.000898472596585804
"20","Asian/Pacific Islander","Midwest","Professional","60,000-74,999","Female",4,1,0.000898472596585804
"21","Asian/Pacific Islander","Midwest","Secondary","1-19,999","Male",1,2,0.00179694519317161
"22","Asian/Pacific Islander","Midwest","Secondary","100,000-149,999","Male",6,1,0.000898472596585804
"23","Asian/Pacific Islander","Midwest","Secondary","20,000-39,999","Female",2,1,0.000898472596585804
"24","Asian/Pacific Islander","Midwest","Secondary","20,000-39,999","Male",2,1,0.000898472596585804
"25","Asian/Pacific Islander","Midwest","Secondary","40,000-59,999","Male",3,1,0.000898472596585804
"26","Asian/Pacific Islander","Midwest","Secondary","60,000-74,999","Female",4,1,0.000898472596585804
"27","Asian/Pacific Islander","Midwest","Secondary","60,000-74,999","Male",4,1,0.000898472596585804
"28","Asian/Pacific Islander","Midwest","Secondary",NA,"Male",NA,1,0.000898472596585804
"29","Asian/Pacific Islander","Northeast","Bachelors","1-19,999","Male",1,1,0.00258397932816537
"30","Asian/Pacific Islander","Northeast","Bachelors","20,000-39,999","Female",2,1,0.00258397932816537
"31","Asian/Pacific Islander","Northeast","Bachelors","40,000-59,999","Female",3,1,0.00258397932816537
"32","Asian/Pacific Islander","Northeast","Bachelors","40,000-59,999","Male",3,1,0.00258397932816537
"33","Asian/Pacific Islander","Northeast","Bachelors","75,000-99,999","Male",5,1,0.00258397932816537
"34","Asian/Pacific Islander","Northeast","Bachelors",NA,"Female",NA,1,0.00258397932816537
"35","Asian/Pacific Islander","Northeast","Masters","100,000-149,999","Female",6,1,0.00258397932816537
"36","Asian/Pacific Islander","Northeast","Masters","100,000-149,999","Male",6,1,0.00258397932816537
"37","Asian/Pacific Islander","Northeast","Masters","150,000 +","Female",0,2,0.00516795865633075
