"","Race","Region","EDUC","Income","Gender","Income_cont"
"1","White","Midwest","Secondary","150,000 +","Male",2e+05
"2","White","South","Masters","150,000 +","Male",2e+05
"3","Black","West","Secondary","20,000- 29,999","Female",25000
"4","White","South","Secondary","60,000-74,999","Female",67500
"5","White","West","Secondary","150,000 +","Male",2e+05
"6","Black","South","Primary","1-9,999","Male",5000
"7","White","West","Secondary","10,000-19,999","Female",10000
"8","White","South","Masters",NA,"Male",NA
"9","White","Midwest","Associates","100,000-149,999","Male",125000
"10","Hispanic","South","Associates",NA,"Female",NA
"11","White","South","Secondary","40,000- 49,999","Female",45000
"12","White","Midwest","Bachelors","60,000-74,999","Female",67500
"13","Black","South","Secondary","20,000- 29,999","Female",25000
"14","White","South","Masters","40,000-59,999","Male",55000
"15","Hispanic","South","Secondary","20,000- 29,999","Female",25000
"16","White","South","Masters","60,000-74,999","Male",67500
"17","White","South","Secondary","40,000- 49,999","Male",45000
"18","White","Midwest","Secondary","20,000- 29,999","Male",25000
"19","Hispanic","West","Secondary","40,000-59,999","Male",55000
"20","White","Midwest","Primary","60,000-74,999","Male",67500
"21","Other","Midwest","Primary",NA,"Female",NA
"22","Hispanic","South","Associates","30,000-39,999","Male",35000
"23","White","Midwest","Secondary","30,000-39,999","Male",35000
"24","White","South","Secondary","10,000-19,999","Female",10000
"25","White","Midwest","Masters","150,000 +","Male",2e+05
"26","Asian/Pacific Islander","West","Bachelors",NA,"Female",NA
"27","Black","South","Secondary","40,000-59,999","Male",55000
"28","White","South","Associates","100,000-149,999","Female",125000
"29",NA,"Midwest",NA,NA,NA,NA
"30","White","Midwest","Secondary","40,000-59,999","Male",55000
"31","White","South","Associates","100,000-149,999","Male",125000
"32","White","South","Masters","100,000-149,999","Male",125000
"33","White","West","Associates","40,000- 49,999","Female",45000
"34","Hispanic","South","Associates","40,000-59,999","Female",55000
"35","White","Midwest","Masters",NA,"Male",NA
"36","White","South","Masters","75,000-99,999","Female",87500
"37","Black","South","Primary","1-9,999","Female",5000
"38","White","Midwest","Secondary",NA,"Female",NA
"39","White","Midwest","Bachelors","75,000-99,999","Male",87500
"40","White","West","Bachelors","100,000-149,999","Female",125000
"41","White","West","Associates","150,000 +","Female",2e+05
"42","White","Midwest","Primary","60,000-74,999","Female",67500
"43","White","Midwest","Bachelors","100,000-149,999","Female",125000
"44","White","West","Associates","30,000-39,999","Male",35000
"45",NA,"West",NA,NA,NA,NA
"46","White","Midwest","Secondary","60,000-74,999","Female",67500
"47","White","West","Associates","30,000-39,999","Female",35000
"48","White","Midwest","Secondary",NA,"Male",NA
"49","White","South","Masters","60,000-74,999","Male",67500
"50","Black","Midwest","Secondary",NA,"Male",NA
"51","White","South","Secondary","100,000-149,999","Female",125000
"52","White","South","Secondary","75,000-99,999","Male",87500
"53","White","South","Secondary","10,000-19,999","Male",10000
"54",NA,"Midwest",NA,NA,NA,NA
"55","White","Midwest","Bachelors","150,000 +","Female",2e+05
"56","Other","West","Associates","30,000-39,999","Female",35000
"57","White","South","Secondary","30,000-39,999","Female",35000
"58","White","West","Masters","100,000-149,999","Female",125000
"59","Asian/Pacific Islander","Midwest","Masters","40,000-59,999","Female",55000
"60","White","West","Secondary","10,000-19,999","Female",10000
"61","Hispanic","South","Secondary","30,000-39,999","Female",35000
"62","White","South","Associates","1-9,999","Female",5000
"63","White","Midwest","Bachelors",NA,"Female",NA
"64","White","Northeast","Primary","20,000- 29,999","Female",25000
"65","White","South","Associates","30,000-39,999","Female",35000
"66","White","Midwest","Primary",NA,"Female",NA
"67","White","Midwest","Associates","20,000- 29,999","Female",25000
"68","White","West","Secondary","60,000-74,999","Male",67500
"69","White","West","Secondary","100,000-149,999","Female",125000
"70","White","Midwest","Masters","75,000-99,999","Female",87500
"71","White","West","Primary","75,000-99,999","Female",87500
"72","White","Midwest","Masters","100,000-149,999","Female",125000
"73","White","South","Bachelors","150,000 +","Male",2e+05
"74","White","Midwest","Primary",NA,"Female",NA
"75","White","South","Associates",NA,"Male",NA
"76","Other","South","Secondary","40,000- 49,999","Female",45000
"77","White","South","Bachelors","30,000-39,999","Male",35000
"78","White","South","Bachelors","150,000 +","Female",2e+05
"79","Other","Midwest","Masters","75,000-99,999","Female",87500
"80","White","South","Primary","10,000-19,999","Female",10000
"81","White","South","Associates","60,000-74,999","Female",67500
"82","Black","South","Secondary","40,000- 49,999","Male",45000
"83","White","South","Bachelors","75,000-99,999","Female",87500
"84","White","West","Secondary","20,000- 29,999","Female",25000
"85","White","West","Secondary","10,000-19,999","Male",10000
"86","Other","South","Associates","40,000-59,999","Female",55000
"87","White","South","Masters","150,000 +","Female",2e+05
"88","White","Northeast","Secondary","20,000- 29,999","Male",25000
"89","White","West","Secondary","30,000-39,999","Male",35000
"90","Hispanic","West","Secondary","75,000-99,999","Male",87500
"91","White","Northeast","Secondary","40,000- 49,999","Male",45000
"92","Hispanic","West","Associates","100,000-149,999","Female",125000
"93","White","South","Associates","40,000-59,999","Female",55000
"94","Black","South","Associates","60,000-74,999","Male",67500
"95","White","Midwest","Masters","75,000-99,999","Female",87500
"96","Black","South","Bachelors","60,000-74,999","Female",67500
"97","White","Northeast","Secondary","30,000-39,999","Male",35000
"98","Black","South","Bachelors","75,000-99,999","Female",87500
"99","Other","West","Secondary","10,000-19,999","Male",10000
"100","White","Midwest","Secondary",NA,"Male",NA
"101","White","South","Primary","10,000-19,999","Female",10000
"102",NA,"South",NA,NA,NA,NA
"103","White","Northeast","Secondary","40,000-59,999","Female",55000
"104","Other","Midwest","Secondary","100,000-149,999","Male",125000
"105","White","Midwest","Secondary","150,000 +","Female",2e+05
"106","Black","West","Associates","30,000-39,999","Male",35000
"107","White","Midwest","Secondary","1-9,999","Female",5000
"108","Asian/Pacific Islander","Northeast","Secondary","60,000-74,999","Male",67500
"109","Black","South","Secondary",NA,"Female",NA
"110","Black","Midwest","Bachelors","150,000 +","Male",2e+05
"111","Hispanic","West","Bachelors","150,000 +","Female",2e+05
"112",NA,"South",NA,NA,NA,NA
"113","Hispanic","Midwest","Secondary","40,000- 49,999","Female",45000
"114","White","West","Primary","40,000-59,999","Female",55000
"115","Hispanic","West","Secondary","60,000-74,999","Female",67500
"116","Black","South","Primary",NA,"Female",NA
"117","White","Midwest","Masters","30,000-39,999","Female",35000
"118","White","Northeast","Primary","100,000-149,999","Male",125000
"119","White","South","Primary","20,000- 29,999","Female",25000
"120","White","West","Associates",NA,"Male",NA
"121","White","South","Primary","1-9,999","Male",5000
"122","White","Northeast","Bachelors","40,000- 49,999","Female",45000
"123","White","Northeast","Bachelors","100,000-149,999","Female",125000
"124","Asian/Pacific Islander","West","Secondary","75,000-99,999","Male",87500
"125","White","Midwest","Bachelors","40,000- 49,999","Male",45000
"126","White","South","Secondary","1-9,999","Female",5000
"127","White","Northeast","Associates","40,000- 49,999","Female",45000
"128","White","Midwest","Secondary","60,000-74,999","Male",67500
"129","White","Midwest","Primary","40,000- 49,999","Male",45000
"130","White","Midwest","Associates","60,000-74,999","Female",67500
"131",NA,"Midwest",NA,NA,NA,NA
"132","White","South","Bachelors","100,000-149,999","Male",125000
"133","White","Midwest","Secondary","20,000- 29,999","Male",25000
"134","White","West","Masters","100,000-149,999","Male",125000
"135","Black","West","Secondary","10,000-19,999","Female",10000
"136","White","South","Secondary","30,000-39,999","Male",35000
"137","Hispanic","West","Secondary",NA,"Female",NA
"138","White","South","Secondary","60,000-74,999","Female",67500
"139",NA,"Midwest",NA,NA,NA,NA
"140",NA,"Midwest",NA,NA,NA,NA
"141","Black","South","Secondary",NA,"Male",NA
"142","White","South","Secondary","40,000-59,999","Male",55000
"143","White","South","Secondary","100,000-149,999","Male",125000
"144","White","Midwest","Secondary","40,000-59,999","Female",55000
"145","White","Northeast","Bachelors","20,000- 29,999","Female",25000
"146","Asian/Pacific Islander","Midwest","Secondary","60,000-74,999","Male",67500
"147","Black","Midwest","Primary","1-9,999","Female",5000
"148","White","South","Associates","10,000-19,999","Female",10000
"149","White","South","Bachelors","75,000-99,999","Female",87500
"150","White","Northeast","Bachelors","100,000-149,999","Female",125000
"151","White","Midwest","Associates",NA,"Female",NA
