"","EDUC","Region","N","perc"
"1","Bachelors","Midwest",233,0.209344115004492
"2","Bachelors","Northeast",87,0.224806201550388
"3","Bachelors","South",273,0.181636726546906
"4","Bachelors","West",125,0.190258751902588
"5","Masters","Midwest",105,0.0943396226415094
"6","Masters","Northeast",60,0.155038759689922
"7","Masters","South",158,0.105123087159015
"8","Masters","West",69,0.105022831050228
"9","Primary","Midwest",99,0.0889487870619946
"10","Primary","Northeast",32,0.082687338501292
"11","Primary","South",193,0.128409846972721
"12","Primary","West",65,0.0989345509893455
"13","Professional","Midwest",133,0.119496855345912
"14","Professional","Northeast",40,0.103359173126615
"15","Professional","South",157,0.104457751164338
"16","Professional","West",67,0.101978691019787
"17","Secondary","Midwest",500,0.449236298292902
"18","Secondary","Northeast",149,0.385012919896641
"19","Secondary","South",651,0.43313373253493
"20","Secondary","West",280,0.426179604261796
"21",NA,"Midwest",43,0.0386343216531896
"22",NA,"Northeast",19,0.0490956072351421
"23",NA,"South",71,0.0472388556220892
"24",NA,"West",51,0.0776255707762557
