"","Region","Income","N","perc"
"1","Midwest","1-19,999",125,0.11671335200747
"2","Midwest","100,000-149,999",147,0.137254901960784
"3","Midwest","150,000 +",104,0.0971055088702148
"4","Midwest","20,000-39,999",190,0.177404295051354
"5","Midwest","40,000-59,999",171,0.159663865546218
"6","Midwest","60,000-74,999",121,0.112978524743231
"7","Midwest","75,000-99,999",108,0.100840336134454
"8","Midwest","Other",1,0.000933706816059757
"9","Midwest",NA,104,0.0971055088702148
"10","Northeast","1-19,999",39,0.105691056910569
"11","Northeast","100,000-149,999",54,0.146341463414634
"12","Northeast","150,000 +",39,0.105691056910569
"13","Northeast","20,000-39,999",59,0.159891598915989
"14","Northeast","40,000-59,999",63,0.170731707317073
"15","Northeast","60,000-74,999",38,0.102981029810298
"16","Northeast","75,000-99,999",38,0.102981029810298
"17","Northeast","Other",1,0.002710027100271
"18","Northeast",NA,38,0.102981029810298
"19","South","1-19,999",270,0.188415910676902
"20","South","100,000-149,999",161,0.11235170969993
"21","South","150,000 +",131,0.0914166085136078
"22","South","20,000-39,999",240,0.167480809490579
"23","South","40,000-59,999",225,0.157013258897418
"24","South","60,000-74,999",135,0.0942079553384508
"25","South","75,000-99,999",127,0.0886252616887648
"26","South","Other",5,0.00348918353105373
"27","South",NA,139,0.0969993021632938
"28","West","1-19,999",69,0.113861386138614
"29","West","100,000-149,999",76,0.125412541254125
"30","West","150,000 +",79,0.13036303630363
"31","West","20,000-39,999",89,0.146864686468647
"32","West","40,000-59,999",99,0.163366336633663
"33","West","60,000-74,999",70,0.115511551155116
"34","West","75,000-99,999",64,0.105610561056106
"35","West","Other",1,0.00165016501650165
"36","West",NA,59,0.0973597359735974
