"","Region","Race","N","perc"
"1","Midwest","Asian/Pacific Islander",30,0.0280112044817927
"2","Midwest","Black",97,0.0905695611577964
"3","Midwest","Hispanic",83,0.0774976657329599
"4","Midwest","Other",43,0.0401493930905696
"5","Midwest","White",817,0.762838468720822
"6","Midwest",NA,1,0.000933706816059757
"7","Northeast","Asian/Pacific Islander",23,0.0623306233062331
"8","Northeast","Black",30,0.0813008130081301
"9","Northeast","Hispanic",32,0.0867208672086721
"10","Northeast","Other",10,0.02710027100271
"11","Northeast","White",270,0.731707317073171
"12","Northeast",NA,4,0.010840108401084
"13","South","Asian/Pacific Islander",38,0.0264993026499303
"14","South","Black",318,0.221757322175732
"15","South","Hispanic",192,0.133891213389121
"16","South","Other",50,0.0348675034867503
"17","South","White",834,0.581589958158996
"18","South",NA,2,0.00139470013947001
"19","West","Asian/Pacific Islander",60,0.099009900990099
"20","West","Black",43,0.070957095709571
"21","West","Hispanic",132,0.217821782178218
"22","West","Other",24,0.0396039603960396
"23","West","White",346,0.570957095709571
"24","West",NA,1,0.00165016501650165
