"","Race","Region","EDUC","Gender","Income","Income_cont"
"1","White","Midwest","Secondary","Male","150,000 +","200000"
"2","White","South","Masters","Male","150,000 +","200000"
"3","Black","West","Secondary","Female","20,000- 29,999","25000"
"4","White","South","Secondary","Female","60,000-74,999","67500"
"5","White","West","Secondary","Male","150,000 +","200000"
"6","Black","South","Primary","Male","1-9,999","5000"
"7","White","West","Secondary","Female","10,000-19,999","10000"
"8","White","South","Masters","Male",NA,NA
"9","White","Midwest","Professional","Male","100,000-149,999","125000"
"10","Hispanic","South","Professional","Female",NA,NA
"11","White","South","Secondary","Female","40,000- 49,999","45000"
"12","White","Midwest","Bachelors","Female","60,000-74,999","67500"
"13","Black","South","Secondary","Female","20,000- 29,999","25000"
"14","White","South","Masters","Male","40,000-59,999","55000"
"15","Hispanic","South","Secondary","Female","20,000- 29,999","25000"
"16","White","South","Masters","Male","60,000-74,999","67500"
"17","White","South","Secondary","Male","40,000- 49,999","45000"
"18","White","Midwest","Secondary","Male","20,000- 29,999","25000"
"19","Hispanic","West","Secondary","Male","40,000-59,999","55000"
"20","White","Midwest","Primary","Male","60,000-74,999","67500"
"21","Other","Midwest","Primary","Female",NA,NA
"22","Hispanic","South","Professional","Male","30,000-39,999","35000"
"23","White","Midwest","Secondary","Male","30,000-39,999","35000"
"24","White","South","Secondary","Female","10,000-19,999","10000"
"25","White","Midwest","Masters","Male","150,000 +","200000"
"26","Asian/Pacific Islander","West","Bachelors","Female",NA,NA
"27","Black","South","Secondary","Male","40,000-59,999","55000"
"28","White","South","Secondary","Female","100,000-149,999","125000"
"29","White","Midwest","Secondary","Male","40,000-59,999","55000"
"30","White","South","Professional","Male","100,000-149,999","125000"
"31","White","South","Masters","Male","100,000-149,999","125000"
"32","White","West","Secondary","Female","40,000- 49,999","45000"
"33","Hispanic","South","Secondary","Female","40,000-59,999","55000"
"34","White","Midwest","Masters","Male",NA,NA
"35","White","South","Masters","Female","75,000-99,999","87500"
"36","Black","South","Primary","Female","1-9,999","5000"
"37","White","Midwest","Secondary","Female",NA,NA
"38","White","Midwest","Bachelors","Male","75,000-99,999","87500"
"39","White","West","Bachelors","Female","100,000-149,999","125000"
"40","White","West","Secondary","Female","150,000 +","200000"
"41","White","Midwest","Primary","Female","60,000-74,999","67500"
"42","White","Midwest","Bachelors","Female","100,000-149,999","125000"
"43","White","West","Professional","Male","30,000-39,999","35000"
"44","White","Midwest","Secondary","Female","60,000-74,999","67500"
"45","White","West","Professional","Female","30,000-39,999","35000"
"46","White","Midwest","Secondary","Male",NA,NA
"47","White","South","Masters","Male","60,000-74,999","67500"
"48","Black","Midwest","Secondary","Male",NA,NA
"49","White","South","Secondary","Female","100,000-149,999","125000"
"50","White","South","Secondary","Male","75,000-99,999","87500"
"51","White","South","Secondary","Male","10,000-19,999","10000"
"52","White","Midwest","Bachelors","Female","150,000 +","200000"
"53","Other","West","Professional","Female","30,000-39,999","35000"
"54","White","South","Secondary","Female","30,000-39,999","35000"
"55","White","West","Masters","Female","100,000-149,999","125000"
"56","Asian/Pacific Islander","Midwest","Masters","Female","40,000-59,999","55000"
"57","White","West","Secondary","Female","10,000-19,999","10000"
"58","Hispanic","South","Secondary","Female","30,000-39,999","35000"
"59","White","South","Professional","Female","1-9,999","5000"
"60","White","Midwest","Bachelors","Female",NA,NA
"61","White","Northeast","Primary","Female","20,000- 29,999","25000"
"62","White","South","Secondary","Female","30,000-39,999","35000"
"63","White","Midwest","Primary","Female",NA,NA
"64","White","Midwest","Professional","Female","20,000- 29,999","25000"
"65","White","West","Secondary","Male","60,000-74,999","67500"
"66","White","West","Secondary","Female","100,000-149,999","125000"
"67","White","Midwest","Masters","Female","75,000-99,999","87500"
"68","White","West","Primary","Female","75,000-99,999","87500"
"69","White","Midwest","Masters","Female","100,000-149,999","125000"
"70","White","South","Bachelors","Male","150,000 +","200000"
"71","White","Midwest","Primary","Female",NA,NA
"72","White","South","Professional","Male",NA,NA
"73","Other","South","Secondary","Female","40,000- 49,999","45000"
"74","White","South","Bachelors","Male","30,000-39,999","35000"
"75","White","South","Bachelors","Female","150,000 +","200000"
"76","Other","Midwest","Masters","Female","75,000-99,999","87500"
"77","White","South","Primary","Female","10,000-19,999","10000"
"78","White","South","Secondary","Female","60,000-74,999","67500"
"79","Black","South","Secondary","Male","40,000- 49,999","45000"
"80","White","South","Bachelors","Female","75,000-99,999","87500"
"81","White","West","Secondary","Female","20,000- 29,999","25000"
"82","White","West","Secondary","Male","10,000-19,999","10000"
